user_id,region,device,channel,session_start,session_end,sessiondurationsec,session_date,month,day,hour_of_day,order_dt,revenue,payment_type,promo_code,final_price,time_of_day,sold
529697267522,United States,iPhone,социальные сети,2019-05-01 00:06:40,2019-05-01 00:07:06,26.0,2019-05-01,5,3,0,2019-05-01 00:06:40,9999.0,Mobile payments,0.0,9999.0,night,1
601292388085,United States,PC,organic,2019-05-01 06:56:16,2019-05-01 07:09:18,782.0,2019-05-01,5,3,7,,,,,,morning,0
852898876338,United States,Mac,социальные сети,2019-05-01 04:30:45,2019-05-01 04:34:56,251.0,2019-05-01,5,3,4,,,,,,night,0
998513020664,United States,iPhone,социальные сети,2019-05-01 18:53:42,2019-05-01 18:57:35,233.0,2019-05-01,5,3,18,,,,,,evening,0
240702200943,United States,Mac,социальные сети,2019-05-02 14:04:32,2019-05-02 14:09:51,319.0,2019-05-02,5,4,14,,,,,,day,0
271758921583,United States,iPhone,социальные сети,2019-05-02 08:40:35,2019-05-02 08:41:15,40.0,2019-05-02,5,4,8,,,,,,morning,0
425357155257,United States,Android,социальные сети,2019-05-02 16:32:29,2019-05-02 16:55:30,1381.0,2019-05-02,5,4,16,,,,,,day,0
768721432035,France,Mac,реклама у блогеров,2019-05-02 10:21:30,2019-05-02 10:51:54,1824.0,2019-05-02,5,4,10,,,,,,day,0
177410811849,United States,Android,социальные сети,2019-05-03 18:43:49,2019-05-03 19:30:52,2823.0,2019-05-03,5,5,19,,,,,,evening,0
337713702816,United States,iPhone,реклама у блогеров,2019-05-03 19:48:35,2019-05-03 20:16:10,1655.0,2019-05-03,5,5,20,,,,,,evening,0
646967194055,Germany,PC,organic,2019-05-03 10:48:10,2019-05-03 11:12:32,1462.0,2019-05-03,5,5,11,,,,,,day,0
690688816702,France,PC,organic,2019-05-03 07:58:24,2019-05-03 08:15:40,1036.0,2019-05-03,5,5,8,,,,,,morning,0
819430452750,UK,PC,organic,2019-05-03 09:28:23,2019-05-03 09:41:51,808.0,2019-05-03,5,5,9,,,,,,morning,0
841208777989,United States,Mac,социальные сети,2019-05-03 22:19:03,2019-05-03 22:59:53,2450.0,2019-05-03,5,5,22,,,,,,night,0
141158670001,Germany,Android,контекстная реклама,2019-05-04 07:33:33,2019-05-04 07:54:23,1250.0,2019-05-04,5,6,7,,,,,,morning,0
